name,link,actual_price,old_price,id,brand
"Сыр Cheese Gallery Чеддер красный полутвердый нарезка 50%, 150г",/products/cheese-gallery-chedder-krasnyj-narezka-45-150g-bzmzh,169,229,cheese-gallery-chedder-krasnyj-narezka-45-150g-bzmzh,CHEESE GALLERY
"Сыр Ламбер Классический полутвердый 50%, ~1кг",/products/lamber-v-bochonke-1kg-bzmzh,999,,lamber-v-bochonke-1kg-bzmzh,ЛАМБЕР
"Сыр Ламбер полутвердый 50%, 230г",/products/lamber-50230g-bzmzh,309,,lamber-50230g-bzmzh,ЛАМБЕР
"Сыр Natura сливочный легкий полутвердый 16%, 200г",/products/200g-30-natura-slivochnyj-legkij-bzmzh,259,,200g-30-natura-slivochnyj-legkij-bzmzh,NATURA
"Сыр Ламбер полутвердый 50%, ~500г",/products/500g-syr-50-lamber-bzmzh,999,,500g-syr-50-lamber-bzmzh,ЛАМБЕР
"Сыр Брест-Литовск Тильзитер полутвердый 45%, 200г",/products/syr-tilziter-brest-litovsk-45-200g-bzmzh,179,196,syr-tilziter-brest-litovsk-45-200g-bzmzh,БРЕСТ-ЛИТОВСК
"METRO Chef Сыр Тильзитер полутвердый нарезка 45%, 500г",/products/metro-chef-tilziter-narezka-45-500g,519,,metro-chef-tilziter-narezka-45-500g,METRO CHEF
"Сыр Natura сливочный полутвердый 45%, 200г",/products/natura-slivochnyj-200g-bzmzh,199,,natura-slivochnyj-200g-bzmzh,NATURA
"Сыр Natura сливочный полутвердый 45%, 1кг",/products/1kg-syr-slivochnyy-45-natura-bzmzh,999,,1kg-syr-slivochnyy-45-natura-bzmzh,NATURA
"Сыр Брест-Литовск Российский полутвердый 50%, 200г",/products/art-76002,187,,art-76002,БРЕСТ-ЛИТОВСК
"METRO Chef Сыр Маасдам полутвердый нарезка 45%, 500г",/products/metro-chef-maasdam-narezka-45-500g,699,,metro-chef-maasdam-narezka-45-500g,METRO CHEF
"METRO Chef Сыр Гауда 48%, ~2.5кг",/products/gauda-48-metro-chef-vesovoj,779,,gauda-48-metro-chef-vesovoj,METRO CHEF
"METRO Chef Сыр Тильзитер 45%, 500г",/products/500g-45-metro-chef-tilziter-bzmzh,469,,500g-45-metro-chef-tilziter-bzmzh,METRO CHEF
"METRO Chef Сыр Чеддар красный полутвердый нарезка 50%, 500г",/products/metro-chef-cheddar-krasnyj-narezka-50-500g,669,,metro-chef-cheddar-krasnyj-narezka-50-500g,METRO CHEF
"Сыр Natura сливочный полутвердый 45%, 400г",/products/400g-syr-slivochnyy-45-natura-bzmzh,399,419,400g-syr-slivochnyy-45-natura-bzmzh,NATURA
"Сыр Брест-Литовск Маасдам полутвердый 45%, 200г",/products/200g-45-maasdam-brest-litovsk-bzmzh,229,,200g-45-maasdam-brest-litovsk-bzmzh,БРЕСТ-ЛИТОВСК
"Сыр Брест-Литовск Гауда полутвердый 45%, 200г",/products/syr-gauda-brest-litovs-45-200g-bzmzh,179,196,syr-gauda-brest-litovs-45-200g-bzmzh,БРЕСТ-ЛИТОВСК
"METRO Chef Сыр Маасдам 45%, 500г",/products/500g-45-metro-chef-maasdam-bzmzh,609,,500g-45-metro-chef-maasdam-bzmzh,METRO CHEF
"METRO Chef Сыр Гауда полутвердый нарезка 48%, 500г",/products/metro-chef-gauda-narezka-48-500-g,579,,metro-chef-gauda-narezka-48-500-g,METRO CHEF
"METRO Chef Сыр Российский 50%, 500г",/products/500g-50-rossijskij-metro-chef-bzmzh,409,,500g-50-rossijskij-metro-chef-bzmzh,METRO CHEF
"METRO Chef Сыр чеддер красный 50%, 200г",/products/200g-syr-cheddar-krasnyy-50-metro-chef-bzmzh,265,,200g-syr-cheddar-krasnyy-50-metro-chef-bzmzh,METRO CHEF
"METRO Chef Сыр Эдам 40% полутвердый нарезка, 1кг",/products/edam-40-narezka-metro-chef-1-kg,959,,edam-40-narezka-metro-chef-1-kg,METRO CHEF
"METRO Chef Смесь тертых сыров 45%, 150г",/products/150g-smes-tyortyh-45-metro-chef-bzmzh,144,,150g-smes-tyortyh-45-metro-chef-bzmzh,METRO CHEF
"Сыр Laplandia Сливочный полутвердый нарезка 45%, 250г",/products/250g-syr-45-laplandia-slivochnyy-narezka-bzmzh,289,409,250g-syr-45-laplandia-slivochnyy-narezka-bzmzh,LAPLANDIA
"METRO Chef Сыр Гауда тертый 48%, 500г",/products/metro-chef-gauda-tertyj-48-500-g,539,,metro-chef-gauda-tertyj-48-500-g,METRO CHEF
"METRO Chef Сыр Гауда 45%, ~1кг",/products/gauda-metro-chef-48-brusok-1-kg,889,,gauda-metro-chef-48-brusok-1-kg,METRO CHEF
"METRO Chef Сыр Эдам полутвердый нарезка 40%, 500г",/products/metro-chef-edam-narezka-40-500-g,509,,metro-chef-edam-narezka-40-500-g,METRO CHEF
"Сыр Брест-Литовск Чеддер полутвердый 45%, 200г",/products/syr-chedder-brest-litovsk-45-200g-bzmzh,219,239,syr-chedder-brest-litovsk-45-200g-bzmzh,БРЕСТ-ЛИТОВСК
"Сыр Киприно Алтайский полутвердый 50%, ~1кг",/products/altajskij-kiprino-50-1kg-bzmzh,1339,,altajskij-kiprino-50-1kg-bzmzh,КИПРИНО
"Сыр Natura Сливочный полутвердый нарезка 45%, 300г",/products/300g-syr-slivochnyy-45-natura-narezka-bzmzh,409,,300g-syr-slivochnyy-45-natura-narezka-bzmzh,NATURA
"METRO Chef Сыр Чеддар красный полутвердый 50%, ~1кг",/products/cheddar-metro-chef-krasnyj-50-1-kg,1049,,cheddar-metro-chef-krasnyj-50-1-kg,METRO CHEF
"Сыр Viola Маасдам полутвердый нарезка 45%, 120г",/products/120g-syr-45-viola-maasdam-narezka-bzmzh,216,,120g-syr-45-viola-maasdam-narezka-bzmzh,VIOLA
"Сыр Тысяча озёр легкий полутвердый нарезка 15%, 125г",/products/125g-15-legkij-tysyacha-ozyor-nar-bzmzh,129,172,125g-15-legkij-tysyacha-ozyor-nar-bzmzh,ТЫСЯЧА ОЗЁР
"METRO Chef Сыр Гауда 45%, 500г",/products/500g-48-gauda-metro-chef-kusok-bzmzh,529,,500g-48-gauda-metro-chef-kusok-bzmzh,METRO CHEF
"METRO Chef Сыр Гауда полутвердый нарезка 48%, 1кг",/products/gauda-narezka-48-metro-chef-1-kg,1049,,gauda-narezka-48-metro-chef-1-kg,METRO CHEF
